,gx
382,0.0313303
383,0.0328945
384,0.0349987
385,0.038255
386,0.0416832
387,0.0447335
388,0.0479679
389,0.0509473
390,0.0535736
391,0.0562466
392,0.0579279
393,0.0586488
394,0.0589565
395,0.058901
396,0.0582745
397,0.0573704
398,0.0564008
399,0.0549867
400,0.0535793
401,0.0525492
402,0.0519233
403,0.0511685
404,0.0509741
405,0.0513917
406,0.0512877
407,0.0505684
408,0.0502226
409,0.0502988
410,0.0503316
411,0.0502643
412,0.0499399
413,0.049309
414,0.0482294
415,0.0468771
416,0.0449604
417,0.042813
418,0.0402751
419,0.037002
420,0.0334176
421,0.029522
422,0.0257775
423,0.0226519
424,0.0198658
425,0.0167599
426,0.0132304
427,0.0100237
428,0.0077528
429,0.0064193
430,0.00566497
431,0.00534147
432,0.00559087
433,0.00606363
434,0.00671097
435,0.00763405
436,0.00772864
437,0.00743065
438,0.00660026
439,0.00517402
440,0.00358243
441,0.00112451
442,-0.00108522
443,-0.00255437
444,-0.00343234
445,-0.00438112
446,-0.00532696
447,-0.0055239
448,-0.00494015
449,-0.00399837
450,-0.00319326
451,-0.00254818
452,-0.00150478
453,0.000136944
454,0.00241512
455,0.00427234
456,0.00484899
457,0.00507739
458,0.00487631
459,0.00481982
460,0.00524273
461,0.0056448
462,0.00643822
463,0.00762193
464,0.00859125
465,0.00955548
466,0.010293
467,0.0110191
468,0.0116493
469,0.0120516
470,0.0116814
471,0.0107272
472,0.00946499
473,0.00797088
474,0.0066355
475,0.00477366
476,0.00234756
477,-0.000220853
478,-0.00248137
479,-0.00444247
480,-0.0057373
481,-0.00700273
482,-0.00809209
483,-0.00880998
484,-0.00946996
485,-0.00941881
486,-0.00863091
487,-0.00737238
488,-0.00522892
489,-0.00246414
490,0.000764737
491,0.00366099
492,0.0060075
493,0.00823051
494,0.0105708
495,0.0127511
496,0.0145736
497,0.0160695
498,0.0166629
499,0.0163276
500,0.015414
501,0.0131683
502,0.00986254
503,0.00589136
504,0.00199078
505,-0.000977895
506,-0.00277466
507,-0.00381956
508,-0.00416393
509,-0.0037729
510,-0.00256076
511,-0.00127119
512,0.000373924
513,0.00271218
514,0.00487049
515,0.00614382
516,0.00772998
517,0.00941846
518,0.0105995
519,0.011474
520,0.0119895
521,0.0122351
522,0.0121165
523,0.0117878
524,0.0117989
525,0.0125661
526,0.0139214
527,0.0153396
528,0.0169036
529,0.0191478
530,0.0215235
531,0.0242925
532,0.0274951
533,0.0309171
534,0.0338656
535,0.0357306
536,0.0368577
537,0.0372531
538,0.0371425
539,0.0364902
540,0.0352399
541,0.0334197
542,0.0308877
543,0.0280107
544,0.0249837
545,0.0222966
546,0.019931
547,0.0176697
548,0.0154334
549,0.0136261
550,0.0121847
551,0.0110053
552,0.0103914
553,0.0101561
554,0.0105505
555,0.0108157
556,0.0105235
557,0.00961836
558,0.00856294
559,0.0072711
560,0.00556455
561,0.00296595
562,-0.000221216
563,-0.00371175
564,-0.00731283
565,-0.0108175
566,-0.0137468
567,-0.0163462
568,-0.0185407
569,-0.0198072
570,-0.0205564
571,-0.0215276
572,-0.0220332
573,-0.0226718
574,-0.0235534
575,-0.0245336
576,-0.0255106
577,-0.0264516
578,-0.0266982
579,-0.0264637
580,-0.0259569
581,-0.0255599
582,-0.0254484
583,-0.0259563
584,-0.0268432
585,-0.027956
586,-0.0283045
587,-0.0282439
588,-0.0272814
589,-0.0256548
590,-0.0235248
591,-0.0214172
592,-0.0188593
593,-0.0167841
594,-0.0152714
595,-0.0131964
596,-0.0111673
597,-0.00893132
598,-0.00651703
599,-0.00403042
