,0
600,0.049543455086282204
601,0.051648606278580964
602,0.0533919113823479
603,0.054743511602370266
604,0.05573379160869203
605,0.05637878650683666
606,0.056707986320798875
607,0.05674931047381606
608,0.05653286587122955
609,0.05608777924708622
610,0.05544234215383299
611,0.054623223656096995
612,0.053655335196628406
613,0.05256164134598221
614,0.051363136880918904
615,0.050078859770551445
616,0.04872595923806967
617,0.04731978767611669
618,0.04587401139749141
619,0.04440072967845711
620,0.04291059729281109
621,0.041412946135439485
622,0.03991590334562799
623,0.03842650407997607
624,0.036950797856709086
625,0.035493947860943925
626,0.034060322969816995
627,0.03265358250200922
628,0.0312767538699157
629,0.029932303425678194
630,0.0286222008638379
631,0.027347977583666742
632,0.026110779432597566
633,0.02491141425486945
634,0.023750394661445684
635,0.02262797642197563
636,0.02154419285968348
637,0.02049888560747257
638,0.019491732059603865
639,0.018522269829011735
640,0.017589918496335056
641,0.016693998913524556
642,0.015833750302734886
643,0.015008345370301745
644,0.014216903636035599
645,0.013458503159868785
646,0.012732190831064239
647,0.012036991369695315
648,0.011371915175881594
649,0.010735965149247462
650,0.010128142589184815
651,0.009547452275671463
652,0.008992906820545455
653,0.008463530370187287
654,0.00795836173244389
655,0.007476456993271492
656,0.007016891681913783
657,0.0065787625374065396
658,0.006161188923753509
659,0.005763313936198811
660,0.005384305236580204
661,0.0050233556517412445
662,0.004679683565368229
663,0.00435253313036282
664,0.004041174325929848
665,0.0037449028809211724
666,0.0034630400826027256
667,0.0031949324878776755
668,0.0029399515520808312
669,0.002697493188737149
670,0.0024669772721314753
671,0.002247847093150275
672,0.0020395687776134804
673,0.0018416306752016295
674,0.0016535427260874053
675,0.0014748358114899391
676,0.001305061093574417
677,0.0011437893494091029
678,0.0009906103030584046
679,0.0008451319593262763
680,0.0007069799421621465
681,0.0005757968402953622
682,0.00045124156226817436
683,0.000332988702686425
684,0.0002207279211966954
685,0.00011416333542457344
686,1.30129288671137e-05
687,-8.299202547988384e-05
688,-0.00017410752516553362
689,-0.00026057738156729014
690,-0.0003426337461252068
691,-0.00042049761936174677
692,-0.0004943793426289298
693,-0.0005644790726168984
694,-0.0006309872387371385
695,-0.0006940849835610644
696,-0.000753944586551779
697,-0.0008107298713747441
698,-0.0008645965971128767
699,-0.0009156928337442036
700,-0.0009641593222664796
