Pm,gx,gy,gz,wx,wy,wz
0.939668504240298,0.608455247269815,-0.633950354733282,-0.543607822856818,-0.184215619095081,-0.838557473735946,-0.86525936645763
0.930460360045767,0.664775018888075,-0.643715599884259,-0.53896607614735,-0.174172221183995,-0.814776327684112,-0.871861070911722
0.922575084400231,0.719641583613362,-0.653199398526675,-0.541223882291358,-0.164069021366723,-0.7894364528388,-0.87824923621161
0.915923727356582,0.768772783820757,-0.662275257847693,-0.545710063214368,-0.153907680807326,-0.76262122714786,-0.884421289596398
0.910227982751793,0.806134764024299,-0.670464086318696,-0.54729515244396,-0.143695674744077,-0.734565864190488,-0.890369512783406
0.907470777874709,0.828908901899239,-0.678112158014822,-0.551419748025471,-0.133438817251189,-0.705569646916332,-0.896078469207268
0.907921169436409,0.840435404333903,-0.684789397372428,-0.56061494734939,-0.123142091820843,-0.67594151256374,-0.901537867824409
0.910425431146857,0.844145368199971,-0.690924298794998,-0.573152708841813,-0.112813804273345,-0.645845584040583,-0.906734844830359
0.916066976000352,0.834347841130506,-0.696412505711941,-0.591000729477404,-0.102460599264935,-0.615545160129543,-0.911687409551375
0.922738637215861,0.81428491014544,-0.700926717970043,-0.60904215622589,-0.0920907826159181,-0.585272821421989,-0.916380125422094
0.930167897904528,0.788131317434816,-0.705165808360226,-0.629778655112754,-0.0817095039348824,-0.555197079138837,-0.920810419681621
0.935963966323656,0.760723856090171,-0.709929843923681,-0.644687743728492,-0.0713191719097157,-0.525368837711407,-0.924986010612639
0.940512939915854,0.728792552392137,-0.715351642113885,-0.652032971537768,-0.06091463693183,-0.495822325981446,-0.928899179932465
0.9437273315734,0.694878194511794,-0.721004289687515,-0.651398094949788,-0.0504917460910733,-0.46664443254724,-0.932555073162888
0.943805264632646,0.668241232344233,-0.726761293831736,-0.636531051141201,-0.0400455158952635,-0.437764944400074,-0.935935680977649
0.941626358578491,0.646450358834687,-0.732534109577562,-0.611926429996447,-0.0295747835295583,-0.409009206680768,-0.939064158224795
0.938375516222851,0.629155440979092,-0.738072913619639,-0.585757742025677,-0.0190771403060694,-0.380289453128428,-0.941922495578067
0.933615907339966,0.617261247248125,-0.743243307344331,-0.557419542005916,-0.00855167258456369,-0.351498608904765,-0.944518411320148
0.925833977222751,0.611910099478054,-0.748078495115006,-0.522972231507117,0.00200195186777141,-0.322512045919308,-0.946851905451037
0.913618540819479,0.609889863029828,-0.753022782936752,-0.480355614978883,0.0125858095060114,-0.293220934008548,-0.948920405209841
0.897529917997405,0.607333582247947,-0.757997112801547,-0.435124652342001,0.0232028904254655,-0.26361474122118,-0.950708474031195
0.877853291622739,0.602186936940426,-0.762716875880509,-0.39062358755726,0.0338519487530888,-0.233758414590263,-0.952216111915099
0.852169968328625,0.603120624951263,-0.76764377094049,-0.347790019824127,0.0445299113353683,-0.203643177489709,-0.953445891622447
0.821829665781099,0.606051826914486,-0.77357154038204,-0.309140751298659,0.0552376087543347,-0.173178630670797,-0.954405531435922
0.787512054274283,0.613877661049563,-0.780490697244196,-0.275900547213165,0.0659747087771756,-0.142349853869175,-0.955107895159994
0.75210873268851,0.626488646240176,-0.789130156360928,-0.249320661028458,0.0767449490230279,-0.111045383933508,-0.955565846599132
0.725835274959176,0.631014554275005,-0.798719892734095,-0.231717761618557,0.087551651820013,-0.0793336785472927,-0.955789676796913
