,0
286,-0.0005246082027753247
287,-0.0004926276248293617
288,-0.0004966861043808379
289,-0.00048740692314675155
290,-0.0004629005707149555
291,-0.0004748682334667372
292,-0.0004219357016021651
293,-0.0004229687112053009
294,-0.00038382766344201714
295,-0.00035035664666204457
296,-0.0003314715144621757
297,-0.0002747042778949997
298,-0.0002380022923512093
299,-0.00020731408058542242
300,-0.00019179660070900139
301,-0.00019062327013509865
302,-0.0001501370599953775
303,-0.00014553920377462855
304,-0.00012652782783990373
305,-0.00011520230152758629
306,-5.7296759365748e-05
307,-1.9401069444578234e-05
308,8.905088153687253e-06
309,-6.5398809142216e-06
310,-3.2648650960100124e-05
311,-4.609542897208434e-05
312,-4.445040139767329e-05
313,-5.284856473849872e-05
314,-2.857377958645341e-05
315,2.0424100515323535e-05
316,3.311482935006563e-05
317,5.7953014831816086e-05
318,7.258559766038323e-05
319,0.00012079607311017913
320,0.00014578246937044324
321,0.0001803572197888646
322,0.0001865497911577101
323,0.000185387309440065
324,0.00022900801893109636
325,0.00022661500515109835
326,0.0002710701344388045
327,0.0002991034274611565
328,0.00031702580107890777
329,0.00027824088132015224
330,0.0003052434144593385
331,0.0003380466126310762
332,0.0003060431055781214
333,0.0003524862516321089
334,0.00042383147718599504
335,0.0004844624211000846
336,0.0005043458691453824
337,0.0005201633059935566
338,0.0005607029352628028
339,0.000601399001326179
340,0.0005956159654257769
341,0.0005786993948726771
342,0.0005456129338519605
343,0.0005725272255267506
344,0.0005581880062636563
345,0.0005390951525268709
346,0.0005115430838260905
347,0.0005265621693017565
348,0.0005339421096039253
349,0.000524951399626689
350,0.0005678675271991488
351,0.0005992046002661353
352,0.000584367877512624
353,0.0006236549322679739
354,0.0006556801238620353
355,0.000626698669185501
356,0.0006402054685675063
357,0.0006307469432916302
358,0.0006708873429333903
359,0.0007126062811544165
360,0.0006955753310475416
361,0.0007173803134779353
362,0.0007375498396742434
363,0.0007745878913358772
364,0.0007521979107200469
365,0.0007049836312160216
366,0.0006447275880955756
367,0.0006327591082011518
368,0.0006041700901254654
369,0.0005943567538724253
370,0.0005370807396195401
371,0.0005442836758495814
372,0.0005274724079458521
373,0.000511695267128183
374,0.0004973268788714395
375,0.00046441181203232064
376,0.0004981933180345447
377,0.0005007950212730687
378,0.0005273556424745063
379,0.0005703714395460073
380,0.0005958641701877318
381,0.0006417116497777083
382,0.0006243759248294846
383,0.0006468086816423657
384,0.0006337603568472531
385,0.0006138037063969488
386,0.0006150892378671053
387,0.0006200563484753944
388,0.0006682327737493069
389,0.0006579887084063666
390,0.0006156682914415042
391,0.0006191686977778952
392,0.0005711470221250025
393,0.0004915785315562473
394,0.00045940146761922125
395,0.0004452860771127498
396,0.0004831196184311157
397,0.0005214156963970211
398,0.0005274098123862327
399,0.0005477008925048838
400,0.0005678536349182678
401,0.0005756722203307899
402,0.0005242399027388953
403,0.0005219815709092916
404,0.0004557637166999015
405,0.00043264538210905897
406,0.0004468387668704378
407,0.0004644510044282395
408,0.00046384365241238917
409,0.0004626272673014313
410,0.0004587430965985415
411,0.00044189842076426856
412,0.00042043110507318596
413,0.00038723161123894426
414,0.00033043452680306206
415,0.0002834603680715744
416,0.00024596942660047973
417,0.00022538735684761327
418,0.00021951911078989632
419,0.00024061360526211466
420,0.00030137122238789156
421,0.00034432918507283617
422,0.00036033058014422304
423,0.00031572824633621454
424,0.00031930522373223964
425,0.00027415689015996723
426,0.00020865704519775274
427,0.000195782252794046
428,0.00014278307380940244
429,0.00014802833265714686
430,5.737126840318231e-05
431,1.6738599769228668e-06
432,-1.6830814729657762e-05
433,-1.632859543114287e-05
434,-4.3028609381628846e-05
435,-3.3177763279587224e-05
436,-8.018976044140428e-05
437,-6.940076809682195e-05
438,-7.770406003685019e-05
439,-7.247010167468458e-05
440,-5.531580151736896e-05
441,3.149604724382032e-05
442,3.648647730315177e-05
443,3.794900020191414e-05
444,0.00013583881578795994
445,1.951894369167662e-05
446,-5.3642851947826636e-05
447,1.4352002432833538e-05
448,2.3017287800903647e-05
449,4.887624372854533e-05
450,3.000139526924559e-05
451,5.783631194151659e-05
452,7.822375398043532e-05
453,0.00011334307127096344
454,5.775627514615775e-05
455,8.464464675679777e-05
456,0.00010557108228222397
457,0.00015655960883704484
458,0.00014870618237723828
459,0.0001175567007642547
460,9.672477984182953e-05
461,0.00014504663911080445
462,0.00011725496210549843
463,0.00016180226847784025
464,0.00013577228502250648
465,6.686150685960107e-05
466,8.453534812016001e-05
467,0.00018238649364249492
468,0.0002286661914196968
469,0.0002348414363938403
470,0.0002738692792810771
471,0.00030443615735351124
472,0.00039848704144523374
473,0.000461756555952261
474,0.00047058298837224813
475,0.0005382343986911801
476,0.0005462363802013957
477,0.0006029955290002095
478,0.000656541045721206
479,0.0006753827299316877
480,0.0006921921277455149
481,0.0006559339827402804
482,0.0006420946159065755
483,0.0006024109856265802
484,0.0005263854822026441
485,0.0005394982805962248
486,0.0005811858858899603
487,0.0006330932527472467
488,0.0006036101020040029
489,0.0005995185570351435
490,0.0006100267710609766
491,0.0005896011091111108
492,0.0006203029746287746
493,0.0006569054968868257
494,0.0007090549095219208
495,0.0006801416530843897
496,0.0006055451318160844
497,0.0006405317899325655
498,0.0006578121173374002
499,0.0006843810068326183
500,0.0006851095401530072
501,0.0006638597380055268
502,0.0006766316614978881
503,0.0006112452939663483
504,0.0004994344342990496
505,0.0004657786369861514
506,0.00033157800105810306
507,0.00028975120509118794
508,0.00029851580695260083
509,0.0001917058615906448
510,0.00017230930053456045
511,0.0001355964785205305
512,0.00012080401833423329
513,0.00019608583995035607
514,0.0002276841616274811
515,0.00019013686119978966
516,0.0001377068535782175
517,0.00011430632864001696
518,5.6413759609933145e-05
519,2.4489119060894202e-05
520,7.282716415647964e-05
521,-2.5103768807208474e-05
522,-9.367441845311391e-05
523,-0.00013727484425920543
524,-0.00010758044417057708
525,-0.00014254563321878592
526,-0.00015855480694732487
527,-0.00014971209793534034
528,-0.00024075861266638772
529,-0.0003423550650345391
530,-0.0004155169354395598
531,-0.0003911369839733559
532,-0.0003230639842988608
533,-0.0002508094298746939
534,-0.00023412234253691557
535,-0.0002734406405323337
536,-0.00028289058583279135
537,-0.0002680831255121678
538,-0.00031455490495025567
539,-0.0003655211554570899
540,-0.00034993283721971886
541,-0.0004478876571389538
542,-0.0005010852403217828
543,-0.0005788967824669555
544,-0.0006132005821684574
545,-0.0006323966145627723
546,-0.0005451763260246644
547,-0.0005459798194240749
548,-0.0005658289907641998
549,-0.000564594557822751
550,-0.0006511647800376059
551,-0.000630307231709819
552,-0.0006643228677774406
553,-0.0006308357272071876
554,-0.0005583667086584033
555,-0.00047011958910964335
556,-0.0004150446082352451
557,-0.000344202607712815
558,-0.0003876773307643286
559,-0.0004743229318858247
560,-0.0004900773147151911
561,-0.0005321753409697203
562,-0.0005369216902148774
563,-0.0005581301632152064
564,-0.0005850053645168817
565,-0.0006054904681031279
566,-0.000541057016854053
567,-0.0005175189883324046
568,-0.0004425718071127741
569,-0.0004067159611956416
570,-0.000332311077345585
571,-0.0002783346517130167
572,-0.0002794853425702314
573,-0.00028440930419012037
574,-0.000284292473729626
575,-0.00033731886616141573
576,-0.0002998516107739758
577,-0.0003037685348833424
578,-0.0003588881767509762
579,-0.0003460363296903108
580,-0.00027654391136178294
581,-0.00022252355178866006
582,-0.0002574781423856081
583,-0.0003061298475952214
584,-0.00034684371730252174
585,-0.00032550020331862414
586,-0.0002564704504539089
587,-0.00021086777644285464
588,-9.666665809933155e-05
589,-0.00012581730904118418
590,-6.774013110590575e-05
591,-6.247287958091098e-05
592,-1.6674783481699036e-05
593,-3.941711226611905e-05
594,-3.2871294046607603e-05
595,-6.096711842861843e-05
596,-1.8808845954720195e-05
597,-5.108950884833156e-05
598,-4.2381374829541916e-05
599,-3.836479422608568e-05
600,2.2991333310376868e-05
