,0
0,-0.001851069208009256
1,-0.008564056951228253
2,-0.011585763103516796
3,-0.013440699285362304
4,-0.014587767434563147
5,-0.016074790867605902
6,-0.01710930325321728
7,-0.018076186663671907
8,-0.018762822053779132
9,-0.019137153887877904
10,-0.019424513413100933
11,-0.019323185894525325
12,-0.01890737562529044
13,-0.018079738698366547
14,-0.017487650361308345
15,-0.016062055199447922
16,-0.015049603937677843
17,-0.013855222684084338
18,-0.0133831389739241
19,-0.013078219373330952
20,-0.013239186597991177
21,-0.014265313352963351
22,-0.015299769146954582
23,-0.016144549161474356
24,-0.017393553388473378
25,-0.019126688522542522
26,-0.020773466225919704
27,-0.021964246256943057
28,-0.023163450598538138
29,-0.024534173061896467
30,-0.025342237215854657
31,-0.026215779591824872
32,-0.02694993771641167
33,-0.026493423267492936
34,-0.025440206783627763
35,-0.02483269697859262
36,-0.02373448971845562
37,-0.023065911467026405
38,-0.022475190128615007
39,-0.021800108624385178
40,-0.021074533889819363
41,-0.021008170000371175
42,-0.020878395712112956
43,-0.02066912409016185
44,-0.020895788752627605
45,-0.021411523122358764
46,-0.022595110494743883
47,-0.023494530750226
48,-0.024550637980250953
49,-0.02556714521426672
50,-0.026628199914348148
51,-0.02729923630733813
52,-0.02791473103784973
53,-0.027443276045037834
54,-0.026639491327467388
55,-0.026700034158064195
56,-0.02623507274590587
57,-0.025494953127345205
58,-0.024426017683704865
59,-0.023121595821093018
60,-0.0214521066861119
61,-0.019751148968213613
62,-0.018770246510837446
63,-0.01718996277813649
64,-0.015835219457220377
65,-0.014787180611188914
66,-0.013661296949227991
67,-0.01279509292281427
68,-0.012029948211784764
69,-0.01218883385285856
70,-0.012899882217230933
71,-0.013203058662849841
72,-0.013814258057321923
73,-0.014259561587165698
74,-0.015319567952588861
75,-0.0162907182377644
76,-0.017062289198232508
77,-0.01737686425922811
78,-0.017212617520670895
79,-0.017041752038816516
80,-0.015842438884481468
81,-0.014956948065934407
82,-0.014390088284594843
83,-0.012482163881761267
84,-0.012001135550821902
85,-0.01208757382240115
86,-0.010659765681017884
87,-0.010375810267903072
88,-0.00849652655931361
89,-0.008076725731351543
90,-0.006967560843389279
91,-0.0060989316072451545
92,-0.004752549548344729
93,-0.004320552703609392
94,-0.004198150189650559
95,-0.002820170894400724
96,-0.001149522747435675
